Afbeelding,nr,Titel,Serie,Reeks,Auteur,Bijzonderheden,Meer info,Druk,Conditie,prijs,Selecteer
,67,De poenschepper,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,02/07/1968,goed,,
,68,Het eiland Amoras,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,plakbad aan de zijkant,,02/07/1968,slecht,,
,69,De nerveuze Nerviërs,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,70,De spokenjagers,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,71,Wattman,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,72,Jeromba de Griek,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,73,Het zoemende ei,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,74,De koddige kater,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,75,Het mini-mierennest,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,76,De ijzeren schelvis,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,77,De apekermis,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,78,De dulle griet,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,79,De zeven snaren,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,80,De brullende berg,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,81,De circusbaron,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,82,De gramme huurling,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,83,De straatridder,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,84,De stemmenrover,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,85,De schone slaper,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,86,Tedere Tronica,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,87,De vliegende aap,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,88,De tamtamkloppers,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,89,De dolle musketiers,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,90,Sjeik El Rojenbiet,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,91,De speelgoedzaaier,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,92,De briesende bruid,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,93,De snorrende snor,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,94,De sissende sampan,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,95,De kleppende klipper,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,96,Het rijmende paard,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,97,De junglebloem,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,98,Het hondenparadijs,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
,99,De kwakstralen,Suske & Wiske,4-kleurenreeks,Willy Vandersteen,,,,,,
